Detected Linux/other - using native python3
Results will be saved to: results/creditcard_20260514_141901
Dataset: creditcard

Activating virtual environment (Linux: ~/Downloads/venv)...
==============================================
STARTING A2QA BASELINE EXPERIMENTS
==============================================

==============================================
EXPERIMENT 1: Minimal Viable Baseline
==============================================
[I 2026-05-14 14:19:03,284] A new study created in memory with name: no-name-d2e84c05-96e5-4891-9bb6-b7786f69a093
[I 2026-05-14 14:19:04,485] Trial 0 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 311, 'max_depth': 7, 'learning_rate': 0.15257372784439052, 'scale_pos_weight': 561.7482774926185}. Best is trial 0 with value: 0.8380952380952381.
[2026-05-14 15:04:38]     Epoch  60 | Cls Loss: 0.0024
[2026-05-14 15:06:41]     Epoch  80 | Cls Loss: 0.0029
[2026-05-14 15:08:44]     Epoch 100 | Cls Loss: 0.0035
[2026-05-14 15:08:44] 
Step 2: Evaluating QUANTIZED embeddings...
[2026-05-14 15:10:11]   QUANTIZED F1: 0.3871, Acc: 0.9969, Prec: 0.2545, Rec: 0.8077
[2026-05-14 15:10:11] 
------------------------------------------------------------
[2026-05-14 15:10:11] RETENTION SUMMARY:
[2026-05-14 15:10:11]   Raw F1:           0.7647
[2026-05-14 15:10:11]   Continuous F1:    0.7290 (95.3% of raw)
[2026-05-14 15:10:11]   Quantized F1:     0.3871 (50.6% of raw)
[2026-05-14 15:10:11]   Quant vs Cont:    53.1% retention
[2026-05-14 15:10:11] ------------------------------------------------------------
[2026-05-14 15:10:11] WARNING: Quantized F1 < 0.70 - consider debugging!
[2026-05-14 15:10:11] WARNING: Quantized retains <90% of continuous - check VQ configuration!
[2026-05-14 15:10:11] Results saved to: results/creditcard_20260514_141901/exp1_minimal_baseline/exp1_run2_results.json
[2026-05-14 15:10:11] 
============================================================
[2026-05-14 15:10:11] EXPERIMENT 1 - RUN 3/5
[2026-05-14 15:10:11] Dataset: creditcard, Seed: 300
[2026-05-14 15:10:11] ============================================================
[2026-05-14 15:10:11] Data: Train=199364, Val=42721, Test=42722
[2026-05-14 15:10:11] Fraud ratio: Train=0.0019, Test=0.0012
[2026-05-14 15:10:11] Input features: 29, Embedding dim: 14, Codebook: 56
[2026-05-14 15:10:11] 
Step 1: Evaluating RAW baseline...
[2026-05-14 15:12:55]   Raw F1: 0.7677, Acc: 0.9995, Prec: 0.8085, Rec: 0.7308
[2026-05-14 15:12:55] 
  Training CONTINUOUS encoder (emb_dim=14)...
[2026-05-14 15:14:39]     Epoch  20 | Cls Loss: 0.0018
[2026-05-14 15:16:29]     Epoch  40 | Cls Loss: 0.0015
[2026-05-14 15:18:28]     Epoch  60 | Cls Loss: 0.0013
[2026-05-14 15:20:26]     Epoch  80 | Cls Loss: 0.0013
[2026-05-14 15:22:26]     Epoch 100 | Cls Loss: 0.0009
[2026-05-14 15:22:26] 
Step 2: Evaluating CONTINUOUS embeddings...
[2026-05-14 15:24:13]   CONTINUOUS F1: 0.6190, Acc: 0.9989, Prec: 0.5270, Rec: 0.7500
[2026-05-14 15:24:13] 
  Training QUANTIZED encoder (emb_dim=14)...
[2026-05-14 15:26:16]     Epoch  20 | Cls Loss: 0.0028
[2026-05-14 15:28:18]     Epoch  40 | Cls Loss: 0.0023
[2026-05-14 15:30:21]     Epoch  60 | Cls Loss: 0.0022
[2026-05-14 15:32:24]     Epoch  80 | Cls Loss: 0.0020
[2026-05-14 15:34:27]     Epoch 100 | Cls Loss: 0.0022
[2026-05-14 15:34:27] 
Step 2: Evaluating QUANTIZED embeddings...
[2026-05-14 15:36:05]   QUANTIZED F1: 0.5556, Acc: 0.9985, Prec: 0.4348, Rec: 0.7692
[2026-05-14 15:36:05] 
------------------------------------------------------------
[2026-05-14 15:36:05] RETENTION SUMMARY:
[2026-05-14 15:36:05]   Raw F1:           0.7677
[2026-05-14 15:36:05]   Continuous F1:    0.6190 (80.6% of raw)
[2026-05-14 15:36:05]   Quantized F1:     0.5556 (72.4% of raw)
[2026-05-14 15:36:05]   Quant vs Cont:    89.7% retention
[2026-05-14 15:36:05] ------------------------------------------------------------
[2026-05-14 15:36:05] WARNING: Quantized F1 < 0.70 - consider debugging!
[2026-05-14 15:36:05] WARNING: Quantized retains <90% of continuous - check VQ configuration!
[2026-05-14 15:36:05] Results saved to: results/creditcard_20260514_141901/exp1_minimal_baseline/exp1_run3_results.json
[2026-05-14 15:36:05] 
============================================================
[2026-05-14 15:36:05] EXPERIMENT 1 - RUN 4/5
[2026-05-14 15:36:05] Dataset: creditcard, Seed: 400
[2026-05-14 15:36:05] ============================================================
[2026-05-14 15:36:06] Data: Train=199364, Val=42721, Test=42722
[2026-05-14 15:36:06] Fraud ratio: Train=0.0019, Test=0.0012
[2026-05-14 15:36:06] Input features: 29, Embedding dim: 14, Codebook: 56
[2026-05-14 15:36:06] 
Step 1: Evaluating RAW baseline...
[2026-05-14 15:38:41]   Raw F1: 0.7800, Acc: 0.9995, Prec: 0.8125, Rec: 0.7500[I 2026-05-14 15:48:08,881] A new study created in memory with name: no-name-9a5f758e-a822-4e45-890d-e73a54c0e97e
[I 2026-05-14 15:48:14,840] Trial 0 finished with value: 0.7850467289719626 and parameters: {'n_estimators': 395, 'max_depth': 4, 'learning_rate': 0.1677400946372008, 'scale_pos_weight': 608.3732870660809}. Best is trial 0 with value: 0.7850467289719626.
[I 2026-05-14 15:48:17,824] Trial 1 finished with value: 0.8 and parameters: {'n_estimators': 391, 'max_depth': 6, 'learning_rate': 0.14066066914160624, 'scale_pos_weight': 432.86344285072295}. Best is trial 1 with value: 0.8.
[I 2026-05-14 15:48:18,865] Trial 2 finished with value: 0.782608695652174 and parameters: {'n_estimators': 110, 'max_depth': 5, 'learning_rate': 0.0623596312401727, 'scale_pos_weight': 415.4003352417245}. Best is trial 1 with value: 0.8.
[I 2026-05-14 15:48:21,141] Trial 3 finished with value: 0.7850467289719626 and parameters: {'n_estimators': 251, 'max_depth': 7, 'learning_rate': 0.1497223415714944, 'scale_pos_weight': 571.8244453756815}. Best is trial 1 with value: 0.8.
[I 2026-05-14 15:48:24,389] Trial 4 finished with value: 0.7850467289719626 and parameters: {'n_estimators': 128, 'max_depth': 6, 'learning_rate': 0.10667177904092762, 'scale_pos_weight': 496.5438015852732}. Best is trial 1 with value: 0.8.
[I 2026-05-14 15:48:35,099] Trial 5 finished with value: 0.8 and parameters: {'n_estimators': 302, 'max_depth': 7, 'learning_rate': 0.07666098804373185, 'scale_pos_weight': 433.986495619883}. Best is trial 1 with value: 0.8.
[I 2026-05-14 15:48:48,693] Trial 6 finished with value: 0.7850467289719626 and parameters: {'n_estimators': 397, 'max_depth': 3, 'learning_rate': 0.1562360684363316, 'scale_pos_weight': 509.8687484871923}. Best is trial 1 with value: 0.8.
[I 2026-05-14 15:48:52,633] Trial 7 finished with value: 0.8076923076923077 and parameters: {'n_estimators': 398, 'max_depth': 6, 'learning_rate': 0.13708760033833875, 'scale_pos_weight': 595.7776744285733}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:48:55,166] Trial 8 finished with value: 0.7924528301886793 and parameters: {'n_estimators': 327, 'max_depth': 6, 'learning_rate': 0.06071396529189703, 'scale_pos_weight': 446.73696698065106}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:02,341] Trial 9 finished with value: 0.7924528301886793 and parameters: {'n_estimators': 309, 'max_depth': 6, 'learning_rate': 0.11685500219694843, 'scale_pos_weight': 607.2266649787402}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:03,029] Trial 10 finished with value: 0.7706422018348624 and parameters: {'n_estimators': 182, 'max_depth': 4, 'learning_rate': 0.0981086753390196, 'scale_pos_weight': 556.4234827231297}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:07,626] Trial 11 finished with value: 0.8 and parameters: {'n_estimators': 352, 'max_depth': 5, 'learning_rate': 0.19779065890546274, 'scale_pos_weight': 480.7868292823547}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:10,554] Trial 12 finished with value: 0.8076923076923077 and parameters: {'n_estimators': 357, 'max_depth': 6, 'learning_rate': 0.13558623182650573, 'scale_pos_weight': 540.4858162182205}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:10,983] Trial 13 finished with value: 0.7850467289719626 and parameters: {'n_estimators': 259, 'max_depth': 7, 'learning_rate': 0.17756176841579538, 'scale_pos_weight': 550.2426486287429}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:14,886] Trial 14 finished with value: 0.7777777777777778 and parameters: {'n_estimators': 353, 'max_depth': 5, 'learning_rate': 0.13145813432843742, 'scale_pos_weight': 578.484734530932}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:24,783] Trial 15 finished with value: 0.7850467289719626 and parameters: {'n_estimators': 193, 'max_depth': 6, 'learning_rate': 0.09052723832559777, 'scale_pos_weight': 529.0298133920456}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:30,712] Trial 16 finished with value: 0.7924528301886793 and parameters: {'n_estimators': 355, 'max_depth': 5, 'learning_rate': 0.12366694179033752, 'scale_pos_weight': 621.2327334683281}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:36,418] Trial 17 finished with value: 0.7924528301886793 and parameters: {'n_estimators': 281, 'max_depth': 4, 'learning_rate': 0.17188270308119274, 'scale_pos_weight': 592.8786908564286}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:38,840] Trial 18 finished with value: 0.8 and parameters: {'n_estimators': 208, 'max_depth': 7, 'learning_rate': 0.13244064006291947, 'scale_pos_weight': 538.7884188236577}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:46,451] Trial 19 finished with value: 0.8 and parameters: {'n_estimators': 367, 'max_depth': 6, 'learning_rate': 0.19099335612105675, 'scale_pos_weight': 570.7155784843601}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:52,521] Trial 20 finished with value: 0.7850467289719626 and parameters: {'n_estimators': 329, 'max_depth': 3, 'learning_rate': 0.15266060469454965, 'scale_pos_weight': 475.3326803000044}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:56,714] Trial 21 finished with value: 0.8076923076923077 and parameters: {'n_estimators': 396, 'max_depth': 6, 'learning_rate': 0.14437318609172647, 'scale_pos_weight': 513.9779588016595}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:49:59,785] Trial 22 finished with value: 0.8 and parameters: {'n_estimators': 371, 'max_depth': 6, 'learning_rate': 0.14178982900236312, 'scale_pos_weight': 518.553794149645}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:50:08,083] Trial 23 finished with value: 0.7924528301886793 and parameters: {'n_estimators': 399, 'max_depth': 5, 'learning_rate': 0.11086602171120884, 'scale_pos_weight': 491.49323650201126}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:50:12,987] Trial 24 finished with value: 0.7924528301886793 and parameters: {'n_estimators': 333, 'max_depth': 7, 'learning_rate': 0.16244330499047482, 'scale_pos_weight': 548.8261271358941}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:50:25,365] Trial 25 finished with value: 0.8076923076923077 and parameters: {'n_estimators': 377, 'max_depth': 6, 'learning_rate': 0.136740632994176, 'scale_pos_weight': 467.50669952847903}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:50:25,799] Trial 26 finished with value: 0.7924528301886793 and parameters: {'n_estimators': 290, 'max_depth': 5, 'learning_rate': 0.12112018983853534, 'scale_pos_weight': 512.7938148573891}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:50:26,377] Trial 27 finished with value: 0.8076923076923077 and parameters: {'n_estimators': 333, 'max_depth': 6, 'learning_rate': 0.17923824634835295, 'scale_pos_weight': 524.4957709970794}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:50:28,007] Trial 28 finished with value: 0.8 and parameters: {'n_estimators': 375, 'max_depth': 7, 'learning_rate': 0.1454252076827981, 'scale_pos_weight': 581.4413223037625}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 15:50:33,192] Trial 29 finished with value: 0.8 and parameters: {'n_estimators': 222, 'max_depth': 6, 'learning_rate': 0.16887442701808691, 'scale_pos_weight': 596.8121854045835}. Best is trial 7 with value: 0.8076923076923077.
[I 2026-05-14 16:00:49,572] A new study created in memory with name: no-name-07777901-cab9-4ec7-ab0f-3ff64e2326a7
[I 2026-05-14 16:00:51,192] Trial 0 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 240, 'max_depth': 3, 'learning_rate': 0.17517032729229154, 'scale_pos_weight': 432.7143272613846}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:51,284] Trial 1 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 133, 'max_depth': 7, 'learning_rate': 0.11335590015757772, 'scale_pos_weight': 479.9625174599285}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:51,372] Trial 2 finished with value: 0.35379061371841153 and parameters: {'n_estimators': 151, 'max_depth': 4, 'learning_rate': 0.06354762643879748, 'scale_pos_weight': 575.4462922651753}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:51,529] Trial 3 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 268, 'max_depth': 5, 'learning_rate': 0.18278372575224827, 'scale_pos_weight': 485.55780191285265}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:51,622] Trial 4 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 148, 'max_depth': 4, 'learning_rate': 0.12808746333942975, 'scale_pos_weight': 531.1871444065262}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:51,796] Trial 5 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 313, 'max_depth': 3, 'learning_rate': 0.1353077872919469, 'scale_pos_weight': 423.92358741706255}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:51,897] Trial 6 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 140, 'max_depth': 3, 'learning_rate': 0.15223517203877418, 'scale_pos_weight': 457.27445093619116}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:52,057] Trial 7 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 322, 'max_depth': 3, 'learning_rate': 0.16938757770187993, 'scale_pos_weight': 521.8122578721155}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:53,226] Trial 8 finished with value: 0.35379061371841153 and parameters: {'n_estimators': 218, 'max_depth': 3, 'learning_rate': 0.05862085529302058, 'scale_pos_weight': 461.62816821829597}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:53,459] Trial 9 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 359, 'max_depth': 7, 'learning_rate': 0.1829284050334627, 'scale_pos_weight': 513.0228675531856}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:00:55,788] Trial 10 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 218, 'max_depth': 6, 'learning_rate': 0.09617751910034066, 'scale_pos_weight': 417.081400580282}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:01,779] Trial 11 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 192, 'max_depth': 4, 'learning_rate': 0.14866157495085724, 'scale_pos_weight': 568.1640110870596}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:03,175] Trial 12 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 280, 'max_depth': 4, 'learning_rate': 0.19765396090105342, 'scale_pos_weight': 616.6080495772467}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:05,312] Trial 13 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 171, 'max_depth': 5, 'learning_rate': 0.0971363950642403, 'scale_pos_weight': 536.0241684699341}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:07,427] Trial 14 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 106, 'max_depth': 4, 'learning_rate': 0.12366496256519209, 'scale_pos_weight': 543.4214268673292}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:08,460] Trial 15 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 229, 'max_depth': 4, 'learning_rate': 0.15781857883731648, 'scale_pos_weight': 496.8369411629371}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:10,508] Trial 16 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 394, 'max_depth': 5, 'learning_rate': 0.08134839344924163, 'scale_pos_weight': 565.5609393734617}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:11,918] Trial 17 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 104, 'max_depth': 6, 'learning_rate': 0.1370755094353988, 'scale_pos_weight': 438.92135613056564}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:13,869] Trial 18 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 185, 'max_depth': 3, 'learning_rate': 0.11188931697340748, 'scale_pos_weight': 604.6845824149179}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:16,596] Trial 19 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 244, 'max_depth': 5, 'learning_rate': 0.17560277374750585, 'scale_pos_weight': 504.2123259646572}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:20,386] Trial 20 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 289, 'max_depth': 4, 'learning_rate': 0.19505504587483025, 'scale_pos_weight': 545.5502255645866}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:24,782] Trial 21 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 312, 'max_depth': 3, 'learning_rate': 0.12892407177068504, 'scale_pos_weight': 431.04861221604324}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:28,012] Trial 22 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 339, 'max_depth': 3, 'learning_rate': 0.14325805104124195, 'scale_pos_weight': 457.2349115556365}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:33,635] Trial 23 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 371, 'max_depth': 3, 'learning_rate': 0.16193421446902242, 'scale_pos_weight': 422.4300451834967}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:36,227] Trial 24 finished with value: 0.35036496350364965 and parameters: {'n_estimators': 256, 'max_depth': 4, 'learning_rate': 0.1306304655303009, 'scale_pos_weight': 443.28618595969385}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:37,896] Trial 25 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 310, 'max_depth': 3, 'learning_rate': 0.11272477017380896, 'scale_pos_weight': 476.14988011545523}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:40,019] Trial 26 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 204, 'max_depth': 4, 'learning_rate': 0.0965607448609711, 'scale_pos_weight': 527.2822883236173}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:43,102] Trial 27 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 293, 'max_depth': 3, 'learning_rate': 0.1396366665760857, 'scale_pos_weight': 446.88007037818716}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:45,092] Trial 28 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 172, 'max_depth': 3, 'learning_rate': 0.1632887311718439, 'scale_pos_weight': 428.9296114798295}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:50,287] Trial 29 finished with value: 0.3563636363636364 and parameters: {'n_estimators': 124, 'max_depth': 4, 'learning_rate': 0.11586614982221966, 'scale_pos_weight': 467.5697248052334}. Best is trial 0 with value: 0.3563636363636364.
[I 2026-05-14 16:01:55,270] A new study created in memory with name: no-name-9862806a-fb10-4796-bd77-053422afaa73
[I 2026-05-14 16:01:57,682] Trial 0 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 374, 'max_depth': 5, 'learning_rate': 0.054452176489617615, 'scale_pos_weight': 573.7478522706092}. Best is trial 0 with value: 0.8380952380952381.
[I 2026-05-14 16:01:58,566] Trial 1 finished with value: 0.8113207547169812 and parameters: {'n_estimators': 278, 'max_depth': 5, 'learning_rate': 0.06105664441860922, 'scale_pos_weight': 537.261618212523}. Best is trial 0 with value: 0.8380952380952381.
[I 2026-05-14 16:02:03,966] Trial 2 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 394, 'max_depth': 6, 'learning_rate': 0.14578728030946614, 'scale_pos_weight': 421.2573688714753}. Best is trial 2 with value: 0.8461538461538461.
[I 2026-05-14 16:02:09,724] Trial 3 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 237, 'max_depth': 5, 'learning_rate': 0.08136310556341972, 'scale_pos_weight': 519.9318170940301}. Best is trial 2 with value: 0.8461538461538461.
[I 2026-05-14 16:02:15,497] Trial 4 finished with value: 0.7787610619469026 and parameters: {'n_estimators': 156, 'max_depth': 4, 'learning_rate': 0.14105719722197396, 'scale_pos_weight': 588.5288560433046}. Best is trial 2 with value: 0.8461538461538461.
[I 2026-05-14 16:02:21,542] Trial 5 finished with value: 0.8301886792452831 and parameters: {'n_estimators': 386, 'max_depth': 3, 'learning_rate': 0.16068080701993848, 'scale_pos_weight': 414.9413764828705}. Best is trial 2 with value: 0.8461538461538461.
[I 2026-05-14 16:02:24,802] Trial 6 finished with value: 0.36162361623616235 and parameters: {'n_estimators': 217, 'max_depth': 3, 'learning_rate': 0.0683746782529174, 'scale_pos_weight': 510.16401365123994}. Best is trial 2 with value: 0.8461538461538461.
[I 2026-05-14 16:02:31,400] Trial 7 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 367, 'max_depth': 5, 'learning_rate': 0.1590219364773987, 'scale_pos_weight': 425.458503997929}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:02:40,403] Trial 8 finished with value: 0.8269230769230769 and parameters: {'n_estimators': 389, 'max_depth': 7, 'learning_rate': 0.06683694151106222, 'scale_pos_weight': 583.9477674089302}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:02:43,588] Trial 9 finished with value: 0.822429906542056 and parameters: {'n_estimators': 128, 'max_depth': 5, 'learning_rate': 0.14362926980609603, 'scale_pos_weight': 619.0135325062962}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:02:47,123] Trial 10 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 315, 'max_depth': 7, 'learning_rate': 0.1951794662434882, 'scale_pos_weight': 467.95179937059976}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:02:52,699] Trial 11 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 331, 'max_depth': 6, 'learning_rate': 0.11062910912458593, 'scale_pos_weight': 420.4063365771359}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:02:57,052] Trial 12 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 337, 'max_depth': 6, 'learning_rate': 0.17988547454670217, 'scale_pos_weight': 453.9387047349678}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:01,042] Trial 13 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 327, 'max_depth': 6, 'learning_rate': 0.1843917450840065, 'scale_pos_weight': 463.33665895165285}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:08,076] Trial 14 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 306, 'max_depth': 4, 'learning_rate': 0.17168991607514608, 'scale_pos_weight': 460.4387505541193}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:11,383] Trial 15 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 279, 'max_depth': 4, 'learning_rate': 0.11489325938475542, 'scale_pos_weight': 480.6622551226211}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:18,144] Trial 16 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 287, 'max_depth': 4, 'learning_rate': 0.16642907168018556, 'scale_pos_weight': 490.75551956343526}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:22,505] Trial 17 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 198, 'max_depth': 4, 'learning_rate': 0.15855667113736144, 'scale_pos_weight': 443.8588357093337}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:31,691] Trial 18 finished with value: 0.8 and parameters: {'n_estimators': 346, 'max_depth': 3, 'learning_rate': 0.12837166305871311, 'scale_pos_weight': 444.2389747565763}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:35,766] Trial 19 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 355, 'max_depth': 4, 'learning_rate': 0.19818333688673784, 'scale_pos_weight': 495.62516274792694}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:44,108] Trial 20 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 294, 'max_depth': 4, 'learning_rate': 0.17403198817444787, 'scale_pos_weight': 438.0450526227669}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:48,742] Trial 21 finished with value: 0.8349514563106796 and parameters: {'n_estimators': 361, 'max_depth': 6, 'learning_rate': 0.18011858968439953, 'scale_pos_weight': 463.01477495605246}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:52,928] Trial 22 finished with value: 0.8349514563106796 and parameters: {'n_estimators': 305, 'max_depth': 6, 'learning_rate': 0.1881003012075398, 'scale_pos_weight': 442.4415277760878}. Best is trial 7 with value: 0.8627450980392157.
[I 2026-05-14 16:03:57,687] Trial 23 finished with value: 0.8653846153846154 and parameters: {'n_estimators': 255, 'max_depth': 5, 'learning_rate': 0.16677764446137874, 'scale_pos_weight': 459.70562085930567}. Best is trial 23 with value: 0.8653846153846154.
[I 2026-05-14 16:03:59,924] Trial 24 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 252, 'max_depth': 5, 'learning_rate': 0.1508385108877611, 'scale_pos_weight': 539.3960076464258}. Best is trial 23 with value: 0.8653846153846154.
[I 2026-05-14 16:04:03,191] Trial 25 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 246, 'max_depth': 5, 'learning_rate': 0.12801715406178718, 'scale_pos_weight': 476.90195208858927}. Best is trial 23 with value: 0.8653846153846154.
[I 2026-05-14 16:04:06,330] Trial 26 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 190, 'max_depth': 5, 'learning_rate': 0.17081670900218857, 'scale_pos_weight': 431.0481315137725}. Best is trial 23 with value: 0.8653846153846154.
[I 2026-05-14 16:04:13,323] Trial 27 finished with value: 0.8148148148148148 and parameters: {'n_estimators': 264, 'max_depth': 4, 'learning_rate': 0.0967935889434643, 'scale_pos_weight': 507.3677203613206}. Best is trial 23 with value: 0.8653846153846154.
[I 2026-05-14 16:04:18,736] Trial 28 finished with value: 0.8431372549019608 and parameters: {'n_estimators': 310, 'max_depth': 5, 'learning_rate': 0.15794394921726243, 'scale_pos_weight': 454.27625490301966}. Best is trial 23 with value: 0.8653846153846154.
[I 2026-05-14 16:04:20,065] Trial 29 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 266, 'max_depth': 5, 'learning_rate': 0.13590542786111054, 'scale_pos_weight': 429.0495273687216}. Best is trial 23 with value: 0.8653846153846154.
[I 2026-05-14 16:13:48,234] A new study created in memory with name: no-name-37ede388-0444-4cbf-a026-838da38180c0
